头实体，尾实体,关系
人力资源,人力资源环境与策略,包含
人力资源环境与策略,人力资源策略,包含
人力资源策略,人力资源政策与哲学,包含
人力资源政策与哲学,人力资源管理,包含
人力资源政策与哲学,人力资源管理目标,包含
人力资源政策与哲学,人力资源管理职责,包含
人力资源政策与哲学,人力资源管理任务,包含
人力资源政策与哲学,战略性人力资源管理,包含
人力资源政策与哲学,人力资源政策,包含
人力资源政策与哲学,人力资源哲学,包含
人力资源政策与哲学,精神契约,包含
人力资源政策与哲学,企业认同感,包含
人力资源策略,组织：行为与文化,包含
组织：行为与文化,正式组织,包含
组织：行为与文化,非正式组织,包含
组织：行为与文化,组织文化,包含
组织：行为与文化,亚文化,包含
组织：行为与文化,跨文化,包含
组织：行为与文化,价值观,包含
组织：行为与文化,态度,包含
组织：行为与文化,角色行为,包含
组织：行为与文化,个人主义—集体主义,包含
组织：行为与文化,不确定性规避,包含
组织：行为与文化,权力距离,包含
组织：行为与文化,直线和职能职权,包含
人力资源策略,激励与组织绩效,包含
激励与组织绩效,激励,包含
激励与组织绩效,需要层次理论,包含
激励与组织绩效,X理论与Y理论,包含
激励与组织绩效,组织体系Ⅰ与组织体系Ⅳ,包含
激励与组织绩效,激励-保健理论,包含
激励与组织绩效,ERG理论,包含
激励与组织绩效,麦克莱兰德需要理论,包含
激励与组织绩效,期望理论,包含
激励与组织绩效,公平理论,包含
激励与组织绩效,强化理论,包含
激励与组织绩效,波特-劳勒期望机率理论,包含
人力资源环境与策略,人力资源环境,包含
人力资源环境,人力资源法律环境,包含
人力资源法律环境,公平就业机会,包含
人力资源法律环境,公平就业机会委员会,包含
人力资源法律环境,实际职业资格,包含
人力资源法律环境,经营必需,包含
人力资源法律环境,反优先雇佣行动,包含
人力资源法律环境,善意势力战略,包含
人力资源法律环境,定额战略,包含
人力资源法律环境,差别性对待,包含
人力资源法律环境,差别性影响,包含
人力资源法律环境,性骚扰,包含
人力资源环境,内部和外部环境,包含
内部和外部环境,人力资源环境外部环境,包含
内部和外部环境,劳动力市场,包含
内部和外部环境,社会责任,包含
内部和外部环境,组织重组,包含
内部和外部环境,管理多样化,包含
内部和外部环境,人力资源内部环境,包含
内部和外部环境,玻璃天花板,包含
内部和外部环境,工作与家庭,包含
人力资源环境与策略,人力资源研究,包含
内部和外部环境,1．人力资源有效性的衡量,包含
内部和外部环境,人力资源管理功能,包含
内部和外部环境,人力资源管理角色,包含
内部和外部环境,审计法,包含
内部和外部环境,分析法,包含
内部和外部环境,人力资源研究,包含
内部和外部环境,人力资源研究过程,包含
人力资源研究,人力资源研究方法,包含
人力资源研究方法,案例研究,包含
人力资源研究方法,调查反馈法,包含
人力资源研究方法,相关分析,包含
人力资源研究方法,回归分析,包含
人力资源研究方法,判别分析,包含
人力资源研究方法,专家系统,包含
人力资源研究方法,集成软件,包含
人力资源,工作分析与人力规划,包含
工作分析与人力规划,工作分析与工作设计,包含
工作分析与工作设计,工作分析基础概念,包含
工作分析基础概念,职业、工作与职位,包含
工作分析基础概念,职责、任务与工作元素,包含
工作分析基础概念,工作背景,包含
工作分析基础概念,工作分析,包含
工作分析基础概念,工作分析流程,包含
工作分析基础概念,工作说明,包含
工作分析基础概念,工作识别,包含
工作分析基础概念,工作规范,包含
工作分析基础概念,工作分析信息,包含
工作分析与工作设计,工作分析的方法与技术,包含
工作分析的方法与技术,问卷调查法,包含
工作分析的方法与技术,访谈法,包含
工作分析的方法与技术,观察法,包含
工作分析的方法与技术,现场工作日记（日志法）,包含
工作分析的方法与技术,工作分析程序法,包含
工作分析的方法与技术,工作分析计划表,包含
工作分析的方法与技术,功能性工作分析法,包含
工作分析的方法与技术,职位分析问卷法,包含
工作分析的方法与技术,管理职位描述问卷调查法,包含
工作分析的方法与技术,关键事变技术,包含
工作分析的方法与技术,工作分析专业指南,包含
工作分析的方法与技术,职业测定系统,包含
工作分析与工作设计,工作设计与丰富化,包含
工作设计与丰富化,工作设计,包含
工作设计与丰富化,工作丰富化,包含
工作设计与丰富化,工作扩大化,包含
工作设计与丰富化,以员工为中心的工作再设计,包含
工作设计与丰富化,激励型工作设计法,包含
工作设计与丰富化,机械型工作设计法,包含
工作设计与丰富化,生物型工作设计法,包含
工作设计与丰富化,知觉运动型工作设计法,包含
工作分析与人力规划,人力资源规划,包含
人力资源规划,人力资源规划基础,包含
人力资源规划基础,人力资源规划,包含
人力资源规划基础,人力资源规划流程,包含
人力资源规划基础,人力资源调查,包含
人力资源规划基础,人力资源信息系统,包含
人力资源规划基础,员工过剩,包含
人力资源规划基础,裁减,包含
人力资源规划,人力资源需求预测,包含
人力资源需求预测,人力资源需求预测,包含
人力资源需求预测,长期趋势,包含
人力资源需求预测,循环变动,包含
人力资源需求预测,季节变动,包含
人力资源需求预测,趋势分析,包含
人力资源需求预测,比率分析,包含
人力资源需求预测,零基预测,包含
人力资源需求预测,模拟方法,包含
人力资源需求预测,计算机预测系统,包含
人力资源规划,人力资源供给预测,包含
人力资源供给预测,供给预测,包含
人力资源供给预测,内部供给,包含
人力资源供给预测,资格数据库,包含
人力资源供给预测,技能储备,包含
人力资源供给预测,继任计划,包含
人力资源供给预测,外部供给,包含
人力资源,人力资源选拔与预测,包含
人力资源选拔与预测,人力资源招聘,包含
人力资源招聘,招聘环境与来源,包含
招聘环境与来源,招聘,包含
招聘环境与来源,招聘来源,包含
招聘环境与来源,外部招聘环境,包含
招聘环境与来源,内部招聘环境,包含
招聘环境与来源,招聘方法,包含
招聘环境与来源,招聘备择方案,包含
招聘环境与来源,核心人员和应急人员,包含
人力资源招聘,外部招聘的方法,包含
外部招聘的方法,广告招聘,包含
外部招聘的方法,职业介绍所,包含
外部招聘的方法,校园招聘,包含
外部招聘的方法,特殊事件,包含
外部招聘的方法,实习招聘,包含
外部招聘的方法,主管人员代理招聘机构,包含
外部招聘的方法,员工推荐,包含
外部招聘的方法,求职者自荐式招聘,包含
外部招聘的方法,简历数据库,包含
外部招聘的方法,自动求职跟踪系统,包含
人力资源招聘,内部招聘的方法,包含
内部招聘的方法,电脑化职业生涯行进系统,包含
内部招聘的方法,内部提升,包含
内部招聘的方法,主管推荐,包含
内部招聘的方法,工作公告和工作投标,包含
内部招聘的方法,职业生涯开发系统,包含
人力资源选拔与预测,人力资源选拔,包含
人力资源选拔,影响选拔的因素,包含
影响选拔的因素,员工选拔,包含
影响选拔的因素,决策速度,包含
影响选拔的因素,选拔等级,包含
影响选拔的因素,候选人数量,包含
影响选拔的因素,选拔率,包含
影响选拔的因素,试用期,包含
影响选拔的因素,拒绝求职者,包含
影响选拔的因素,选拔决策,包含
影响选拔的因素,光环与触角效应,包含
影响选拔的因素,体检,包含
影响选拔的因素,录用,包含
人力资源选拔,选拔中的面试方法,包含
选拔中的面试方法,简历,包含
选拔中的面试方法,申请表,包含
选拔中的面试方法,面试计划清单,包含
选拔中的面试方法,初步面试,包含
选拔中的面试方法,求职面试,包含
选拔中的面试方法,面试目标,包含
选拔中的面试方法,面试内容,包含
选拔中的面试方法,非结构化面试,包含
选拔中的面试方法,结构化面试,包含
选拔中的面试方法,情景面试,包含
选拔中的面试方法,模式化行为描述面试,包含
选拔中的面试方法,基于能力的面试,包含
选拔中的面试方法,系列式面试,包含
选拔中的面试方法,小组面试,包含
选拔中的面试方法,会议型面试,包含
选拔中的面试方法,压力面试,包含
选拔中的面试方法,实际岗位演习,包含
选拔中的面试方法,个人证明材料检查,包含
选拔中的面试方法,背景调查,包含
选拔中的面试方法,证明人,包含
人力资源选拔,选拔中的测试方法,包含
选拔中的测试方法,标准化,包含
选拔中的测试方法,客观性与规划,包含
选拔中的测试方法,测试信度,包含
选拔中的测试方法,测试效应,包含
选拔中的测试方法,标准关联有效性,包含
选拔中的测试方法,内容有效性,包含
选拔中的测试方法,结构有效性,包含
选拔中的测试方法,录用分数线,包含
选拔中的测试方法,认知能力测试,包含
选拔中的测试方法,运动神经能力测试,包含
选拔中的测试方法,人格投射测试,包含
选拔中的测试方法,主题统觉测试,包含
选拔中的测试方法,个性测试,包含
选拔中的测试方法,兴趣测试,包含
选拔中的测试方法,业务知识测试,包含
选拔中的测试方法,工作样本测试,包含
选拔中的测试方法,管理评价中心,包含
选拔中的测试方法,测谎测试,包含
选拔中的测试方法,笔迹分析法,包含
人力资源,人力资源培训与评价,包含
人力资源培训与评价,人力资源培训与开发,包含
人力资源培训与开发,组织变化与员工适应,包含
组织变化与员工适应,组织变化,包含
组织变化与员工适应,变化阻力,包含
组织变化与员工适应,减少阻力,包含
组织变化与员工适应,员工上岗引导,包含
组织变化与员工适应,现实冲击,包含
组织变化与员工适应,上岗引导阶段,包含
组织变化与员工适应,重新导向,包含
组织变化与员工适应,适应组织,包含
组织变化与员工适应,上岗引导目标,包含
人力资源培训与开发,人力资源开发实践,包含
人力资源开发实践,人力资源开发,包含
人力资源开发实践,开发影响因素,包含
人力资源开发实践,人力资源开发目标,包含
人力资源开发实践,人力资源开发过程,包含
人力资源开发实践,人力资源开发需求,包含
人力资源开发实践,人力资源开发分析,包含
人力资源开发实践,管理层开发,包含
人力资源开发实践,外部与内部开发,包含
人力资源开发实践,人力资源开发媒介,包含
人力资源开发实践,人力资源开发评价,包含
人力资源开发实践,柯氏模式,包含
人力资源开发实践,控制实验法,包含
人力资源开发实践,《工作培训合作法》,包含
人力资源开发实践,内部开发中心,包含
人力资源培训与开发,培训与开发方法,包含
培训与开发方法,培训,包含
培训与开发方法,教练方法,包含
培训与开发方法,辅导方法,包含
培训与开发方法,行为建模,包含
培训与开发方法,角色扮演,包含
培训与开发方法,初级董事会,包含
培训与开发方法,行动学习,包含
培训与开发方法,工作轮换,包含
培训与开发方法,文件筐训练,包含
培训与开发方法,管理游戏,包含
培训与开发方法,领导者匹配培训,包含
培训与开发方法,会议方法,包含
培训与开发方法,程序化教学,包含
培训与开发方法,基于计算机的培训,包含
培训与开发方法,远程教育,包含
培训与开发方法,IBM的管理层开发,包含
培训与开发方法,课堂教学,包含
培训与开发方法,实习,包含
培训与开发方法,在职培训,包含
培训与开发方法,学徒培训,包含
培训与开发方法,工作指导培训,包含
培训与开发方法,模拟培训,包含
培训与开发方法,技工学校培训,包含
人力资源培训与评价,组织发展与职业规划,包含
组织发展与职业规划,组织特征与管理风格,包含
组织特征与管理风格,组织气候,包含
组织特征与管理风格,组织特征,包含
组织特征与管理风格,管理流程,包含
组织特征与管理风格,管理风格,包含
组织特征与管理风格,问题求解,包含
组织特征与管理风格,文化类型,包含
组织特征与管理风格,参与文化,包含
组织特征与管理风格,工作系统,包含
组织发展与职业规划,组织发展的方法,包含
组织发展的方法,组织发展,包含
组织发展的方法,组织发展的方法,包含
组织发展的方法,调查反馈,包含
组织发展的方法,质量图,包含
组织发展的方法,充实工作内容,包含
组织发展的方法,交流分析,包含
组织发展的方法,工作期质量,包含
组织发展的方法,敏感性训练,包含
组织发展的方法,全面质量管理,包含
组织发展的方法,团队建设,包含
组织发展的方法,组织发展评价,包含
组织发展与职业规划,职业规划与发展,包含
职业规划与发展,职业规划,包含
职业规划与发展,职业规划影响因素,包含
职业规划与发展,人生阶段,包含
职业规划与发展,职业动机,包含
职业规划与发展,职业性向测试,包含
职业规划与发展,通用资质测验组系,包含
职业规划与发展,自我评价,包含
职业规划与发展,强（弱）平衡表,包含
职业规划与发展,好恶调查表,包含
职业规划与发展,组织职业规划,包含
职业规划与发展,职业途径,包含
职业规划与发展,传统职业途径,包含
职业规划与发展,网状职业途径信息,包含
职业规划与发展,横向职业途径,包含
职业规划与发展,双重职业途径,包含
职业规划与发展,职业途径信息,包含
职业规划与发展,停滞,包含
职业规划与发展,职业发展,包含
职业规划与发展,职业发展方法,包含
人力资源培训与评价,人力资源进行考评,包含
人力资源进行考评,绩效考评与改进,包含
绩效考评与改进,绩效考评,包含
绩效考评与改进,绩效考评目的,包含
绩效考评与改进,绩效考评原则,包含
绩效考评与改进,绩效考评应用,包含
绩效考评与改进,绩效考评流程,包含
绩效考评与改进,考评的限制因素,包含
绩效考评与改进,考评期,包含
绩效考评与改进,上级考评,包含
绩效考评与改进,同事考评,包含
绩效考评与改进,小组考评,包含
绩效考评与改进,自我考评,包含
绩效考评与改进,下级考评,包含
绩效考评与改进,360°反馈,包含
绩效考评与改进,绩效考评标准不清,包含
绩效考评与改进,晕轮效应,包含
绩效考评与改进,个人偏见,包含
绩效考评与改进,近因性错误,包含
绩效考评与改进,居中趋势,包含
绩效考评与改进,偏松或偏紧倾向,包含
绩效考评与改进,考评标准化,包含
绩效考评与改进,考评反馈,包含
绩效考评与改进,考评者培训,包含
绩效考评与改进,考评面谈,包含
绩效考评与改进,评价中心,包含
人力资源进行考评,绩效考评的方法,包含
绩效考评的方法,叙述法,包含
绩效考评的方法,作业标准法,包含
绩效考评的方法,图解式考评,包含
绩效考评的方法,强制分布法,包含
绩效考评的方法,排序考评法,包含
绩效考评的方法,交替排序法,包含
绩效考评的方法,员工比较系统,包含
绩效考评的方法,配对比较法,包含
绩效考评的方法,目标管理法,包含
绩效考评的方法,关键事件法,包含
绩效考评的方法,行为锚定等级法,包含
绩效考评的方法,行为观察量表,包含
人力资源,薪资方案与福利计划,包含
薪资方案与福利计划,薪资结构与方案,包含
薪资结构与方案,员工报酬与公平,包含
员工报酬与公平,员工报酬,包含
员工报酬与公平,直接和间接经济报酬,包含
员工报酬与公平,非经济报酬,包含
员工报酬与公平,报酬公平,包含
员工报酬与公平,外部公平,包含
员工报酬与公平,内部公平,包含
员工报酬与公平,员工公平,包含
员工报酬与公平,团队公平,包含
员工报酬与公平,报酬政策,包含
薪资结构与方案,薪资调查与报酬因素,包含
薪资调查与报酬因素,薪资调查,包含
薪资调查与报酬因素,基准工作,包含
薪资调查与报酬因素,生活费用,包含
薪资调查与报酬因素,豁免员工,包含
薪资调查与报酬因素,工作评价,包含
薪资调查与报酬因素,报酬因素,包含
薪资调查与报酬因素,排序法,包含
薪资调查与报酬因素,分类法,包含
薪资调查与报酬因素,计点法,包含
薪资调查与报酬因素,因素比较法,包含
薪资结构与方案,薪资结构与方法,包含
薪资结构与方法,工作定价,包含
薪资结构与方法,工资等级,包含
薪资结构与方法,工资曲线,包含
薪资结构与方法,工资幅度,包含
薪资结构与方法,工资率调整,包含
薪资结构与方法,计时工资制,包含
薪资结构与方法,计件工资制,包含
薪资结构与方法,标准工时制,包含
薪资结构与方法,技能工资制,包含
薪资结构与方法,市场定价工资制,包含
薪资结构与方法,管理层薪资水平,包含
薪资结构与方法,专业人员报酬制度,包含
薪资结构与方法,可比价值,包含
薪资结构与方法,工资保密,包含
薪资结构与方法,压缩工资,包含
薪资方案与福利计划,激励性报酬与福利,包含
激励性报酬与福利,激励性报酬方案,包含
激励性报酬方案,团队或班组激励计划,包含
激励性报酬方案,年终分红,包含
激励性报酬方案,分红制,包含
激励性报酬方案,资本积累方案,包含
激励性报酬方案,股票期权,包含
激励性报酬方案,绩效工资,包含
激励性报酬方案,利润分享计划,包含
激励性报酬方案,员工持股计划,包含
激励性报酬方案,斯坎伦计划,包含
激励性报酬方案,收益分享计划,包含
激励性报酬方案,风险工资计划,包含
激励性报酬方案,奖金,包含
激励性报酬方案,佣金计划,包含
激励性报酬与福利,间接报酬与福利计划,包含
间接报酬与福利计划,福利,包含
间接报酬与福利计划,补充性工资福利,包含
间接报酬与福利计划,精神健康的福利,包含
间接报酬与福利计划,社会保障,包含
间接报酬与福利计划,失业保险,包含
间接报酬与福利计划,病假,包含
间接报酬与福利计划,补充失业福利,包含
间接报酬与福利计划,工伤补偿,包含
间接报酬与福利计划,团体人寿保险,包含
间接报酬与福利计划,养老金计划,包含
间接报酬与福利计划,个人养老金账户,包含
间接报酬与福利计划,固定收益制,包含
间接报酬与福利计划,固定缴款机,包含
间接报酬与福利计划,401（k）计划,包含
间接报酬与福利计划,提前退休窗口,包含
间接报酬与福利计划,额外酬劳,包含
间接报酬与福利计划,“金降落伞”合同,包含
激励性报酬与福利,服务福利与分经济报酬,包含
服务福利与分经济报酬,员工服务,包含
服务福利与分经济报酬,员工咨询服务,包含
服务福利与分经济报酬,儿童照顾,包含
服务福利与分经济报酬,老年照顾,包含
服务福利与分经济报酬,教育津贴,包含
服务福利与分经济报酬,工作环境,包含
服务福利与分经济报酬,弹性工作时间,包含
服务福利与分经济报酬,压缩工作周,包含
服务福利与分经济报酬,工作分担,包含
服务福利与分经济报酬,弹性报酬计划,包含
服务福利与分经济报酬,在家工作,包含
服务福利与分经济报酬,修订的退休制度,包含
人力资源,员工健康与劳资关系斯,包含
服务福利与分经济报酬,十三章员工安全与健康,包含
激励性报酬与福利,员工安全与事故处理,包含
员工安全与事故处理,员工安全与健康,包含
员工安全与事故处理,职业安全与健康法案,包含
员工安全与事故处理,OSHA标准OSHA standard,包含
员工安全与事故处理,事故损失,包含
员工安全与事故处理,安全方案,包含
员工安全与事故处理,安全诱因方案,包含
员工安全与事故处理,安全委员会,包含
员工安全与事故处理,安全负责人,包含
员工安全与事故处理,事故调查,包含
员工安全与事故处理,事故频率,包含
员工安全与事故处理,事故严重率,包含
员工安全与事故处理,安全方案评价,包含
员工安全与事故处理,不安全条件,包含
员工安全与事故处理,不安全行为,包含
员工安全与事故处理,事故倾向,包含
员工安全与事故处理,事故预防,包含
员工安全与事故处理,减少事故,包含
员工安全与事故处理,累计创伤失调,包含
员工安全与事故处理,工作场所暴力,包含
激励性报酬与福利,工作压力与员工健康,包含
工作压力与员工健康,压力,包含
工作压力与员工健康,工作（组织）压力,包含
工作压力与员工健康,精力衰弱,包含
工作压力与员工健康,减少衰弱,包含
工作压力与员工健康,压力来源,包含
工作压力与员工健康,文化冲击,包含
工作压力与员工健康,角色模糊（冲突）,包含
工作压力与员工健康,克服压力,包含
工作压力与员工健康,催眠,包含
工作压力与员工健康,生物反馈,包含
工作压力与员工健康,超自然冥想,包含
工作压力与员工健康,人类工程学,包含
工作压力与员工健康,酗酒,包含
工作压力与员工健康,药物滥用,包含
工作压力与员工健康,工作场所的吸烟问题,包含
工作压力与员工健康,工作场所的艾滋病,包含
工作压力与员工健康,身体健康方案,包含
工作压力与员工健康,员工援助方案,包含
工作压力与员工健康,施乐方案,包含
员工健康与劳资关系斯,员工与劳动关系,包含
员工与劳动关系,工会运动与法律,包含
工会运动与法律,劳工运动,包含
工会运动与法律,工会,包含
工会运动与法律,密谋原理,包含
工会运动与法律,禁止令（“黄狗合同”）,包含
工会运动与法律,工会保障,包含
工会运动与法律,地方工会,包含
工会运动与法律,全国工会,包含
工会运动与法律,劳联-产联,包含
工会运动与法律,《反禁令法》,包含
工会运动与法律,《国家劳工关系法》,包含
工会运动与法律,国家劳动关系委员会,包含
工会运动与法律,《劳资关系法》,包含
工会运动与法律,《劳资报告和揭发法案》,包含
工会运动与法律,资方不正当劳动行为,包含
工会运动与法律,工会不正当劳动行为,包含
工会运动与法律,劳工关系顾问,包含
工会运动与法律,授权卡,包含
工会运动与法律,选举申请,包含
工会运动与法律,选举活动,包含
员工与劳动关系,劳资谈判与无工会组织,包含
劳资谈判与无工会组织,劳资谈判,包含
劳资谈判与无工会组织,谈判单位,包含
劳资谈判与无工会组织,劳资关系,包含
劳资谈判与无工会组织,谈判建议,包含
劳资谈判与无工会组织,谈判问题,包含
劳资谈判与无工会组织,谈判准备,包含
劳资谈判与无工会组织,谈判破裂,包含
劳资谈判与无工会组织,僵持,包含
劳资谈判与无工会组织,第三方介入,包含
劳资谈判与无工会组织,罢工,包含
劳资谈判与无工会组织,抵制,包含
劳资谈判与无工会组织,联合抵制（闭厂）,包含
劳资谈判与无工会组织,协议内容,包含
劳资谈判与无工会组织,协议批准,包含
劳资谈判与无工会组织,协议执行,包含
劳资谈判与无工会组织,抱怨程序,包含
劳资谈判与无工会组织,无工会政策,包含
劳资谈判与无工会组织,开放政策,包含
劳资谈判与无工会组织,有效的交流,包含
劳资谈判与无工会组织,督查专员,包含
劳资谈判与无工会组织,解除认证,包含
员工与劳动关系,员工内部关系,包含
员工内部关系,内部员工关系,包含
员工内部关系,纪律处分,包含
员工内部关系,热炉规则,包含
员工内部关系,渐进纪律处分,包含
员工内部关系,无惩罚的纪律处分,包含
员工内部关系,终止合同,包含
员工内部关系,解雇理由,包含
员工内部关系,自由就业,包含
员工内部关系,临时解雇,包含
员工内部关系,工作替换（临时解雇）程序,包含
员工内部关系,岗外安置,包含
员工内部关系,调动,包含
员工内部关系,降职（晋升）,包含
员工内部关系,辞职,包含
员工内部关系,退休,包含
公式,新进员工比率,包含
